Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
Delton Cables,703.80,57.58,608.08,0.21,8.49,-41.14,174.92,94.64,18.71
Plaza Wires,75.92,98.57,332.17,0.00,0.69,-31.00,47.25,-1.99,7.54
Cords Cable,187.72,20.76,242.68,0.53,2.63,28.92,182.95,25.89,15.41
DCG Cables,112.90,27.32,204.91,0.00,3.31,,39.42,,35.99
A B B,6680.15,83.87,141557.97,0.36,440.45,21.68,2912.16,5.16,30.69
CG Power & Ind,695.10,118.64,106245.21,0.19,219.63,-1.77,2412.69,20.54,46.63
Waaree Energies,2917.45,84.81,83813.44,0.00,401.13,17.29,3408.90,2.42,43.63
B H E L,223.71,175.17,77897.24,0.11,106.15,268.47,6584.10,28.46,3.37
Suzlon Energy,56.73,77.84,76789.91,0.00,200.60,45.89,2103.38,47.98,24.93
Hitachi Energy,11782.35,250.50,49935.57,0.03,52.29,111.36,1553.74,26.53,17.85
GE Vernova T&D,1766.55,114.57,45232.51,0.11,144.62,289.08,1107.77,58.76,23.14
Premier Energies,968.95,189.11,43677.78,0.00,205.95,289.61,1527.22,120.16,25.23
Apar Inds.,8959.35,42.35,35988.20,0.57,193.38,11.21,4644.51,18.32,43.96
Inox Wind,190.03,129.72,24776.00,0.00,90.20,443.46,732.24,97.56,4.26
Siemens,6736.85,98.96,239913.04,0.15,530.60,25.23,4768.50,6.60,20.66
Triveni Turbine,655.65,66.15,20841.60,0.40,91.00,42.03,501.10,29.22,38.32
V-Guard Industri,405.55,67.90,17643.27,0.35,52.19,0.38,1229.02,14.66,16.10
Schneider Elect.,724.55,87.97,17323.99,0.00,54.27,17.26,599.71,20.96,37.02
T R I L,861.55,107.00,12930.39,0.02,45.91,2710.56,461.54,79.55,14.81
Thermax,5003.85,93.99,59624.03,0.24,198.00,24.92,2611.59,13.43,16.93
Carborundum Uni.,1461.65,69.78,27821.95,0.27,116.16,13.72,1224.12,6.79,20.13
Jyoti CNC Auto.,1114.70,92.36,25350.85,0.00,75.88,352.74,430.67,42.47,21.22
Grindwell Norton,2084.80,61.67,23082.91,0.82,97.09,-5.60,693.87,3.97,24.59
Elgi Equipments,584.85,56.56,18534.42,0.34,94.72,3.76,868.86,7.78,22.28
Jupiter Wagons,436.20,50.67,18516.60,0.23,88.62,8.63,973.63,10.73,31.67
Kirloskar Oil,1137.40,31.94,16504.47,0.53,124.92,52.64,1500.32,14.98,14.97
Kirl. Brothers,2039.10,41.12,16192.27,0.29,96.70,89.74,1035.80,13.44,27.30
Titagarh Rail,1110.40,49.16,14954.18,0.07,80.69,15.01,1056.95,12.99,24.97
Action Const.Eq.,1242.40,40.46,14794.90,0.16,94.82,28.25,756.69,12.40,42.30
Cummins India,3329.80,48.89,92302.06,1.14,450.61,37.17,2492.31,31.20,35.23
KSB,818.90,62.15,14252.07,0.43,61.70,23.15,616.50,9.37,23.29
Ingersoll-Rand,4101.50,53.69,12947.62,1.71,60.35,21.40,322.10,16.57,51.35
Praj Industries,689.70,45.57,12677.59,0.87,53.83,-13.69,816.19,-7.50,29.29
Elecon Engg.Co,558.50,35.29,12532.74,0.27,87.72,-0.96,508.14,4.79,31.32
AIA Engineering,3430.90,30.65,32360.38,0.47,256.43,-20.63,1044.21,-19.35,22.71
CIE Automotive,471.70,21.87,17894.52,1.06,195.23,4.26,2134.63,-6.35,18.32
Ramkrishna Forg.,932.70,45.87,16876.27,0.21,189.77,36.54,1053.63,17.23,18.71
PTC Industries,11066.75,368.10,16568.24,0.00,17.31,112.65,72.37,25.84,10.91
Happy Forgings,1081.35,39.33,10186.84,0.37,71.43,29.26,361.13,5.26,22.70
Electrost.Cast.,144.28,10.23,8919.17,0.97,155.20,-11.11,1827.80,-4.77,16.25
Balu Forge,750.00,60.34,8208.14,0.02,48.14,106.88,222.88,60.09,30.78
Kennametal India,3020.35,60.85,6638.20,0.99,25.00,46.20,270.40,4.85,19.50
Rolex Rings,2023.45,30.99,5510.52,0.00,49.26,4.90,300.27,-6.39,28.05
Sundaram Clayton,2273.35,,5011.86,0.23,-54.20,-416.60,562.60,89.60,-1.97
