Name,CMP,PE,Market Cap,Dividend Yield,Net Profit Last Quarter,Quaterly Profit Growth,Sales Latest Quarter,Quaterly Sales Growth,Return on Campital Employment
Godrej Propert.,2595.3,52.06,72165.46,0.0,333.79,399.69,1093.23,218.73,5.74
Prestige Estates,1547.2,97.85,66642.58,0.12,234.6,-77.41,2304.4,3.04,14.86
Phoenix Mills,1397.95,47.28,49976.74,0.18,292.16,-13.66,917.97,4.91,12.44
Brigade Enterpr.,1095.55,58.48,26756.01,0.18,115.08,2.29,1072.16,-21.54,12.66
Anant Raj,674.9,66.62,23074.21,0.11,105.65,75.67,512.85,54.34,8.56
SignatureGlobal,1302.95,337.66,18307.84,0.0,4.16,120.62,749.29,660.47,1.94
Sobha,1534.05,283.22,15367.72,0.2,26.09,74.52,933.59,25.95,7.12
Raymond,1504.7,23.31,10017.35,0.66,59.01,1.12,1044.74,122.25,30.93
Oberoi Realty,1980.3,31.01,72004.15,0.4,589.44,29.05,1319.89,8.42,15.24
Keystone Realtor,724.75,60.26,9133.1,0.0,65.55,1471.94,533.07,-13.75,6.58
Ganesh Housing,1047.65,17.99,8736.05,1.05,158.48,84.26,237.22,45.22,45.01
Valor Estate,160.31,24.98,8632.14,0.0,-111.23,-113.97,79.05,16.22,22.73
Puravankara,343.4,117.68,8143.39,1.83,-17.06,-49.82,495.54,34.54,9.89
Vesuvius India,5395.5,41.86,10952.87,0.24,68.46,13.57,444.16,7.45,26.09
Avenue Super.,3823.85,92.62,248830.56,0.0,659.44,5.79,14444.5,14.42,19.41
Trent,6463.0,168.97,229751.55,0.05,335.06,46.92,4156.67,39.37,23.79
Aditya Bir. Fas.,288.7,67.2921923474664,30924.42,0.0,-214.7,-14.91,3643.86,12.94,0.25
Brainbees Solut.,519.05,67.2921923474664,26948.25,0.0,-62.86,50.76,1904.92,26.41,-4.0
Redtape,826.35,72.51,11420.31,0.0,25.07,-9.63,415.8,28.05,29.27
Medplus Health,704.25,84.07,8419.11,0.0,38.7,166.16,1576.17,11.9,6.66
V-Mart Retail,3663.7,67.2921923474664,7249.34,0.0,-56.51,11.87,660.97,20.3,0.54
Ethos Ltd,2947.2,79.63,7214.88,0.0,21.25,14.31,297.13,26.32,14.91
Shoppers Stop,625.35,344.67,6879.52,0.0,-20.59,-370.45,1114.87,7.29,11.84
Reliance Industr,1267.6,25.26,1715363.12,0.39,19323.0,-4.78,231535.0,-0.15,9.61
Electronics Mart,173.43,36.38,6672.7,0.0,24.55,-34.32,1386.1,5.55,12.74
Entero Healthcar,1381.45,84.09,6008.45,0.0,26.04,360.43,1300.69,30.55,6.71
Aditya Vision,457.45,61.75,5885.69,0.2,12.21,26.79,375.85,20.03,21.75
Cartrade Tech,1183.6,60.27,5598.44,0.0,30.73,100.87,154.21,28.5,4.2
V2 Retail,1151.8,96.44,3984.0,0.0,-2.51,55.81,380.01,64.28,10.85
Landmark Cars,619.95,80.56,2562.31,0.24,0.34,-104.12,907.27,17.72,12.24
GE Shipping Co,1112.1,5.61,15877.14,2.59,575.57,-3.21,1354.4,10.2,18.51
JSW Steel,939.05,44.73,229640.35,0.78,404.0,-76.1,39684.0,-10.99,13.3
Tata Steel,137.98,56.51,172247.71,2.61,758.84,210.32,53904.71,-3.19,7.02
Jindal Steel,877.4,17.69,89502.53,0.23,860.47,-38.0,11213.31,-8.46,13.16
Tube Investments,3440.5,82.92,66545.9,0.1,299.17,-21.66,4924.55,14.37,26.28
Jindal Stain.,694.55,23.36,57191.65,0.43,609.42,-11.23,9776.83,-0.21,22.23
S A I L,111.84,14.63,46195.79,1.79,897.15,-44.34,24675.2,-16.95,8.1
APL Apollo Tubes,1470.5,70.01,40809.99,0.37,53.81,-73.48,4773.91,3.1,25.18
Ratnamani Metals,3519.4,46.59,24668.18,0.4,99.35,-39.38,971.33,-14.13,27.72
Shyam Metalics,812.8,27.14,22687.84,0.55,215.68,-55.29,3634.02,23.58,10.79
Mazagon Dock,3926.1,30.8,79185.51,0.7,585.08,75.76,2756.83,50.84,44.19
Jindal Saw,295.0,10.01,18865.49,0.68,475.31,33.6,5571.92,1.93,21.38
Welspun Corp,678.3,16.19,17795.16,0.74,282.96,-24.16,3301.83,-18.66,20.19
Jai Balaji Inds.,941.25,19.75,17173.86,0.0,153.16,-24.01,1556.57,0.64,63.56
Sarda Energy,428.3,25.23,15092.49,0.23,203.49,38.93,1158.66,15.71,15.28
NMDC Steel,43.86,67.2921923474664,12853.64,0.0,-595.37,-354.13,1522.35,448.77,-8.69
Godawari Power,185.45,13.9,12406.14,0.54,159.39,-38.21,1267.57,-1.82,29.19
ICICI Securities,843.65,13.32,27420.52,3.44,529.04,24.88,1706.65,36.64,19.74
Angel One,2695.65,18.47,24309.34,1.29,423.37,39.06,1514.71,44.55,38.7
Nuvama Wealth,6727.6,28.82,24067.34,2.15,257.31,77.5,1051.35,42.99,16.54
Prudent Corp.,2992.75,70.41,12391.98,0.07,51.52,69.36,286.08,50.54,43.29
IIFL Securities,308.0,13.28,9524.19,0.97,205.34,90.52,645.37,27.3,34.56
Share India Sec.,275.15,13.11,6004.31,0.65,124.27,10.19,452.76,23.58,41.8
Monarch Networth,407.8,20.89,3199.64,0.12,43.98,18.68,104.04,33.78,51.84
Geojit Fin. Ser.,114.62,17.01,3198.19,1.31,57.42,54.1,218.46,51.77,18.79
5Paisa Capital,479.4,24.87,1496.74,0.0,21.89,14.97,100.79,4.01,12.89
Wealth First Por,1395.2,28.21,1486.59,0.57,15.2,48.58,19.47,43.58,56.85
Motil.Oswal.Fin.,900.9,15.93,53925.56,0.39,1121.8,110.86,2837.83,71.49,20.69
SMC Global Sec.,135.92,6.59,1423.08,1.77,45.6,14.39,450.83,15.76,17.99
Indo Thai Sec.,1066.0,61.3,1066.0,0.15,4.53,4.38,9.32,9.65,28.22
Arihant Capital,99.36,12.46,1034.46,0.5,19.94,35.83,76.38,36.47,28.97
Adit.Birla Money,155.31,11.76,877.64,0.0,26.69,123.91,125.66,30.39,12.61
Balrampur Chini,539.4,25.19,10882.35,0.56,67.18,-59.59,1297.95,-15.69,13.46
Sh.Renuka Sugar,40.08,67.2921923474664,8530.99,0.0,-23.1,89.12,2566.2,0.43,10.15
Triven.Engg.Ind.,377.5,26.64,8263.4,0.93,-22.42,-165.96,1490.95,5.83,14.77
Bannari Amm.Sug.,3436.4,32.99,4309.14,0.36,34.27,-29.79,473.73,-21.06,11.82
Bajaj Hindusthan,30.91,67.2921923474664,3948.32,0.0,-75.63,38.76,1159.67,2.33,0.8
Dalmia Bharat,413.6,12.08,3348.09,1.21,66.18,20.55,926.39,26.58,9.84
DCM Shriram Inds,184.72,13.18,1606.92,1.08,22.91,11.16,533.08,-8.16,16.09
Godavari Bioref.,313.05,129.3,1602.06,0.0,-26.11,88.78577903682718,522.53,54.603034351145034,7.4
Dwarikesh Sugar,61.71,67.2921923474664,1143.5,0.0,-24.0,-333.92,246.06,-44.77,13.72
Dhampur Sugar,173.52,15.82,1134.61,0.0,-13.42,-349.91,421.1,-8.31,11.33
EID Parry,781.5,18.87,13876.87,0.51,591.66,-32.42,9330.35,2.99,20.29
Avadh Sugar,562.25,13.0,1125.54,1.78,0.83,-97.13,632.02,-20.75,12.93
Uttam Sug.Mills,291.65,10.33,1112.35,0.86,6.43,-79.24,453.82,-1.35,17.85
Zuari Industries,328.65,19.01,978.76,0.3,-14.77,113.02,237.29,-11.67,3.71
Magadh Sugar,652.55,8.96,919.55,1.53,5.37,-64.39,323.85,11.98,14.56
ITI,291.52,67.2921923474664,28011.78,0.0,-70.11,44.99,1016.2,312.3,-8.43
Tejas Networks,1267.75,47.76,21711.56,0.0,275.18,2277.06,2811.26,610.0,3.68
HFCL,126.89,48.74,18306.08,0.16,73.33,5.63,1093.61,-1.61,13.3
GTL Infra.,2.01,67.2921923474664,2574.21,0.0,-214.05,-26.26,336.38,-4.1,14.042809917355372
NELCO,886.35,96.73,2022.65,0.25,4.1,-27.94,82.55,7.7,23.37
Bharti Airtel,1550.5,65.39,927313.71,0.52,4153.4,119.37,41473.3,11.96,13.13
Bharti Hexacom,1421.8,75.66,71090.0,0.28,253.1,194.62,2097.6,20.66,13.98
Vodafone Idea,7.34,67.2921923474664,51159.67,0.0,-7175.9,17.88,10932.2,2.01,-3.61
Tata Comm,1749.9,60.98,49872.15,0.95,227.27,-2.32,5767.35,18.37,17.55
Tata Tele. Mah.,67.61,67.2921923474664,13217.28,0.0,-330.39,-6.5,343.5,19.76,47.91
Indus Towers,317.75,11.35,85631.62,0.0,2223.5,71.74,7465.3,4.67,22.08
Railtel Corpn.,372.2,42.39,11945.33,0.77,72.64,8.14,843.49,40.78,20.25
Nazara Technolo.,912.05,83.98,6980.98,0.0,16.24,-1.86,318.94,7.3,5.53
Grasim Inds,2523.95,36.23,169698.35,0.4,1100.16,-65.08,33562.85,11.06,9.3
Trident,31.78,50.25,16195.3,1.13,83.32,-7.78,1712.94,-4.71,10.43
Vardhman Textile,454.1,16.49,13131.43,0.88,197.3,46.57,2502.42,4.38,8.73
Welspun Living,149.61,20.95,14539.23,0.07,202.4,2.18,2873.09,14.51,16.1
Raymond Lifestyl,2111.65,26.2,12864.94,0.0,42.18,-34.7,1708.26,-5.27,14.042809917355372
Alok Industries,20.63,67.2921923474664,10243.29,0.0,-262.1,-49.92,885.66,-35.46,-4.4
Arvind Ltd,343.1,31.0,8979.97,1.09,62.77,-24.53,2188.31,13.87,13.08
